id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,nama_stasiun,nama_singkatan,daop,titik_koordinat,kategori_kelas,status,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,BOJONGGEDE,BJD,I,6°29'36.8S106°47'41.6E,I,OPERASI,2021
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,CIBINONG,CBG,I,6°27'51.4S106°51'08.9E,III,OPERASI,2021
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,CIGOMBONG,CGB,I,6°44'32.4S106°48'11.2E,III,OPERASI,2021
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,CILEBUT,CLT,I,6°31'49.9S106°48'2.1E,II,OPERASI,2021
5,32,JAWA BARAT,3201,KABUPATEN BOGOR,CILEJIT,CJT,I,6°21'15.7S106°30'35.1E,III,OPERASI,2021
6,32,JAWA BARAT,3201,KABUPATEN BOGOR,MASENG,MSG,I,6°42'09.2S106°48'52.8E,III,OPERASI,2021
7,32,JAWA BARAT,3201,KABUPATEN BOGOR,NAMBO,NMO,I,6°27′57.63″S106°54′24.52″E,III,OPERASI,2021
8,32,JAWA BARAT,3201,KABUPATEN BOGOR,PARUNG PANJANG,PRP,I,6°20'39.0S106°34'07.2E,BESAR,OPERASI,2021
9,32,JAWA BARAT,3201,KABUPATEN BOGOR,TENJO,TEJ,I,6°19'38.1S106°27'40.9E,III,OPERASI,2021
10,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,CIBADAK,CBD,I,6°53'18.0S106°46'49.6E,III,OPERASI,2021
11,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,CICURUG,CCR,I,6°47'25.6S106°46'46.8E,III,OPERASI,2021
12,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,CIJAMBE,CJE,I,6°49'04.2S106°45'35.8E,HALTE,TIDAK OPERASI,2021
13,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,CIREUNGAS,CRG,II,6°57'30.7S107°02'14.0E,III,OPERASI,2021
14,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,CISAAT,CSA,I,6°54'50.4S106°53'15.0E,III,OPERASI,2021
15,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,GANDASOLI,GDS,II,6°56'29.4S106°59'31.2E,III,OPERASI,2021
16,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KARANG TENGAH,KE,I,6°53'45.9S106°49'20.7E,III,OPERASI,2021
17,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PARUNG KUDA,PRK,I,6°50'47.6S106°45'38.0E,III,OPERASI,2021
18,32,JAWA BARAT,3203,KABUPATEN CIANJUR,CIANJUR,CJ,II,6°49'28.3S107°08'33.1E,II,OPERASI,2021
19,32,JAWA BARAT,3203,KABUPATEN CIANJUR,CIBEBER,CBB,II,6°56'15.3S107°07'16.7E,III,OPERASI,2021
20,32,JAWA BARAT,3203,KABUPATEN CIANJUR,CILAKU,CLK,II,6°53'16.6S107°07'35.1E,III,OPERASI,2021
21,32,JAWA BARAT,3203,KABUPATEN CIANJUR,CIPEUYEUM,CPY,II,6°49'06.2S107°17'53.7E,III,OPERASI,2021
22,32,JAWA BARAT,3203,KABUPATEN CIANJUR,CIRANJANG,CRJ,II,6°48'50.8S107°15'04.5E,III,OPERASI,2021
23,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAMPEGAN,LP,II,6°56'59.9S107°03'41.6E,III,OPERASI,2021
24,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SALAJAMBE,SLJ,II,6°48'48.8S107°13'21.6E,III,OPERASI,2021
25,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BANJARAN (KE SRG),BJA,II,7°02'46.8S107°35'12.3E,III,TIDAK OPERASI,2021
26,32,JAWA BARAT,3204,KABUPATEN BANDUNG,CICALENGKA,CCL,II,6°58'53.4S107°49'57.7E,I,OPERASI,2021
27,32,JAWA BARAT,3204,KABUPATEN BANDUNG,CIMEKAR,CMK,II,6°56'58.8S107°42'52.0E,III,OPERASI,2021
28,32,JAWA BARAT,3204,KABUPATEN BANDUNG,CIWIDEY,CWD,II,7°06'06.4S107°27'56.8E,II,TIDAK OPERASI,2021
29,32,JAWA BARAT,3204,KABUPATEN BANDUNG,DAYEUHKOLOT,DYK,II,6°59'20.8S107°37'41.3E,III,TIDAK OPERASI,2021
30,32,JAWA BARAT,3204,KABUPATEN BANDUNG,HAURPUGUR,HRP,II,6°58'51.2S107°48'00.0E,III,OPERASI,2021
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LEBAKJERO,LBJ,II,7°03'13.2S107°53'38.0E,III,OPERASI,2021
32,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NAGREG,NG,II,7°01'05.9S107°53'10.3E,III,OPERASI,2021
33,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RANCAEKEK,RCK,II,6°57'53.8S107°45'21.2E,I,OPERASI,2021
34,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SOREANG (BD),SR,II,7°01'35.4S107°31'12.4E,III,TIDAK OPERASI,2021
35,32,JAWA BARAT,3205,KABUPATEN GARUT,BAYONGBONG,BYO,II,7°16'07.7S107°48'49.7E,III,TIDAK OPERASI,2021
36,32,JAWA BARAT,3205,KABUPATEN GARUT,BUMIWALUYA,BMW,II,7°03'31.0S108°04'14.0E,III,OPERASI,2021
37,32,JAWA BARAT,3205,KABUPATEN GARUT,CIBATU,CB,II,7°06'00.4S107°58'46.1E,II,OPERASI,2021
38,32,JAWA BARAT,3205,KABUPATEN GARUT,CIKAJANG,CKG,II,7°21'21.9S107°48'15.6E,II,TIDAK OPERASI,2021
39,32,JAWA BARAT,3205,KABUPATEN GARUT,CIPEUNDEUY,CPD,II,7°05'37.1S108°06'02.3E,II,OPERASI,2021
40,32,JAWA BARAT,3205,KABUPATEN GARUT,CISURUPAN,CSN,II,7°18'39.3S107°47'43.7E,III,TIDAK OPERASI,2021
41,32,JAWA BARAT,3205,KABUPATEN GARUT,GARUT,GRT,II,7°12'49.0S107°54'15.8E,II,REAKTIVASI,2021
42,32,JAWA BARAT,3205,KABUPATEN GARUT,KARANGSARI (KE BD),KRAI,II,7°05'52.6S107°55'52.3E,III,OPERASI,2021
