Kepolisian Daerah,
,Jumlah Tindak Pidana Menurut Kepolisian Daerah
,2016
ACEH,9646
SUMATERA UTARA,37102
SUMATERA BARAT,14921
RIAU,8520
JAMBI,9424
SUMATERA SELATAN,20368
BENGKULU,5904
LAMPUNG,10485
KEP. BANGKA BELITUNG,2094
KEP. RIAU,4885
METRO JAYA,43842
JAWA BARAT,29351
JAWA TENGAH,14353
DI YOGYAKARTA,8348
JAWA TIMUR,28902
BANTEN,4570
BALI,4764
NUSA TENGGARA BARAT,7779
NUSA TENGGARA TIMUR,7813
KALIMANTAN BARAT,7311
KALIMANTAN TENGAH,3712
KALIMANTAN SELATAN,7211
KALIMANTAN TIMUR,8896
KALIMANTAN UTARA,-
SULAWESI UTARA,9923
SULAWESI TENGAH,9602
SULAWESI SELATAN,15071
SULAWESI TENGGARA,3756
GORONTALO,3763
SULAWESI BARAT,-
MALUKU,2559
MALUKU UTARA,1096
PAPUA BARAT,8103
PAPUA,3123
INDONESIA,357197
