id,kode_provinsi,nama_provinsi,kategori_wisatawan,jumlah_wisatawan,satuan,tahun
1,32,JAWA BARAT,WISATAWAN DOMESTIK,42758063,ORANG,2012
2,32,JAWA BARAT,WISATAWAN MANCANEGARA,1905378,ORANG,2012
3,32,JAWA BARAT,WISATAWAN DOMESTIK,45536179,ORANG,2013
4,32,JAWA BARAT,WISATAWAN MANCANEGARA,1794401,ORANG,2013
5,32,JAWA BARAT,WISATAWAN DOMESTIK,47992088,ORANG,2014
6,32,JAWA BARAT,WISATAWAN MANCANEGARA,1962639,ORANG,2014
7,32,JAWA BARAT,WISATAWAN DOMESTIK,56334706,ORANG,2015
8,32,JAWA BARAT,WISATAWAN MANCANEGARA,2027629,ORANG,2015
9,32,JAWA BARAT,WISATAWAN DOMESTIK,58728666,ORANG,2016
10,32,JAWA BARAT,WISATAWAN MANCANEGARA,4428094,ORANG,2016
11,32,JAWA BARAT,WISATAWAN DOMESTIK,59644070,ORANG,2017
12,32,JAWA BARAT,WISATAWAN MANCANEGARA,4984035,ORANG,2017
13,32,JAWA BARAT,WISATAWAN DOMESTIK,63298608,ORANG,2018
14,32,JAWA BARAT,WISATAWAN MANCANEGARA,2597455,ORANG,2018
15,32,JAWA BARAT,WISATAWAN DOMESTIK,64610832,ORANG,2019
16,32,JAWA BARAT,WISATAWAN MANCANEGARA,3645433,ORANG,2019
17,32,JAWA BARAT,WISATAWAN DOMESTIK,36524515,ORANG,2020
18,32,JAWA BARAT,WISATAWAN MANCANEGARA,1905213,ORANG,2020
19,32,JAWA BARAT,WISATAWAN DOMESTIK,47132138,ORANG,2021
20,32,JAWA BARAT,WISATAWAN MANCANEGARA,220531,ORANG,2021
21,32,JAWA BARAT,WISATAWAN DOMESTIK,73013573,ORANG,2022
22,32,JAWA BARAT,WISATAWAN MANCANEGARA,537443,ORANG,2022
23,32,JAWA BARAT,WISATAWAN DOMESTIK,85835115,ORANG,2023
24,32,JAWA BARAT,WISATAWAN MANCANEGARA,735210,ORANG,2023
25,32,JAWA BARAT,WISATAWAN DOMESTIK,88201549,ORANG,2024
26,32,JAWA BARAT,WISATAWAN MANCANEGARA,1242782,ORANG,2024
